"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"occupation(Agriculture et Année)détection(Qualité et Année)",7,315.352618246256,0,1,0.615126975348706,-149.403581850401,0.615126975348706
"occupation(Milieux humides et Année)détection(Qualité et Année)",7,316.848531314506,1.49591306825056,0.473332804587001,0.291159776418923,-150.151538384526,0.906286751767629
"occupation(Site et Année)détection(Qualité et Année)",7,321.059423618422,5.70680537216663,0.0576478292983613,0.0354607348717196,-152.256984536484,0.941747486639348
"occupation(Route et Année)détection(Qualité et Année)",7,321.154660205682,5.80204195942588,0.0549670711333222,0.0338117282100177,-152.304602830113,0.975559214849366
"occupation(Eau libre et Année)détection(Qualité et Année)",7,321.804068153827,6.45144990757103,0.0397269709163318,0.0244371314595292,-152.629306804186,0.999996346308895
"occupation(Agriculture et Année)détection(Perturbation  et Année)",7,340.610988020304,25.2583697740485,3.27502555116762e-06,2.01455656147947e-06,-162.032766737425,0.999998360865457
"occupation(Milieux humides et Année)détection(Perturbation  et Année)",7,341.821252134739,26.4686338884838,1.7881715435328e-06,1.09995255297796e-06,-162.637898794642,0.99999946081801
"occupation(Agriculture et Année)détection(Année)",5,346.279132262388,30.9265140161326,1.92483190700762e-07,1.18401602901228e-07,-167.487392218151,0.999999579219613
"occupation(Route)détection(Perturbation  et Année)",7,346.431281912871,31.0786636666153,1.78383192566902e-07,1.09728313696725e-07,-164.942913683708,0.999999688947926
"occupation(Site et Année)détection(Perturbation et Année)",7,346.596255413281,31.2436371670257,1.64259460426744e-07,1.01040425064714e-07,-165.025400433913,0.999999789988351
"occupation(Milieux humides et Année)détection(Année)",5,346.663961691221,31.3113434449652,1.58791832435393e-07,9.76771395960616e-08,-167.679806932567,0.999999887665491
"occupation(Eau libre et Année)détection(Perturbation  et Année)",7,346.933382559568,31.5807643133127,1.38779130520859e-07,8.53667867988195e-08,-165.193964007057,0.999999973032278
"nul",4,351.466096720734,36.1134784744785,1.43899004043898e-08,8.85161591132144e-09,-171.307516445473,0.999999981883894
"occupation(Route et Année)détection(Année)",5,352.061331105759,36.7087128595036,1.06857321444376e-08,6.57308209339436e-09,-170.378491639836,0.999999988456976
"occupation(Site et Année)détection(Année)",5,352.247220390005,36.8946021437489,9.73730869773792e-09,5.98968124727618e-09,-170.471436281959,0.999999994446657
"occupation(Eau libre et Année)détection(Année)",5,352.559916043038,37.2072977967828,8.3279467612843e-09,5.12274470213387e-09,-170.627784108476,0.999999999569402
"occupation(Milieux humides et Année)détection(Jour)",5,358.540188440548,43.1875701942927,4.18734060853837e-10,2.57574616328502e-10,-173.617920307231,0.999999999826976
"occupation(Agriculture et Année)détection(Jour)",5,359.919786688605,44.5671684423498,2.1006917783932e-10,1.29219217978291e-10,-174.307719431259,0.999999999956196
"occupation(Route et Année)détection(Jour)",5,364.019960372259,48.6673421260037,2.70408869739195e-11,1.66335790150134e-11,-176.357806273086,0.999999999972829
"occupation(Site et Année)détection(Jour)",5,364.348824568385,48.9962063221289,2.29408222568924e-11,1.41115186068945e-11,-176.522238371149,0.999999999986941
"occupation(Eau libre et Année)détection(Jour)",5,364.503800802166,49.1511825559105,2.12303091589911e-11,1.30593358586881e-11,-176.59972648804,1
