"V1","V2","V3","V4"
"human","meteo","human","meteo"
"human","meteo","human","none"
"human","none","none","human"
"human","none","human","none"
"none","none","human","human"
"none","none","none","human"
"none","none","human","none"
NA,NA,"meteo","meteo"
"human","human","none","none"
"meteo","none","human","none"
"meteo","none","none","none"
"none","none","none","none"
"none","none","none","none"
"none","none","none","none"
"meteo","human","none","none"
"none","none","none","none"
"meteo","human","human","human"
"meteo","meteo","meteo","meteo"
"meteo","meteo","meteo","meteo"
"human","meteo","human","human"
"none","none","human","none"
"human","none","human","none"
"none","none","human","meteo"
"none","none","human","none"
"meteo","meteo","human","none"
"human","none","none","none"
