"Site","V1","V2","V3","V4","V5","V6","V7","V8"
"C-foret","0","0","0","0","0","0","0","0"
"C-lisiere","0","0","0","0","0","0","0","0"
"E-foret","0","0","0","0","0","0","0","0"
"E-lisiere","0","0","0","0","0","0","0","0"
"F-foret","0","0","0","0","0","0","0","0"
"F-lisiere","0","0","0","0","0","0","0","0"
"Francine-3",NA,"2","0","0","1","2","1","0"
"G-foret","0","0","0","0","0","0","0","0"
"G-lisiere","0","1","0","0","0","1","0","0"
"H-lisiere","0","0","0","0","0","1","0","0"
"J-foret","1","2","1","0","1","3","2","0"
"J-lisiere","0","1","0",NA,"0","2","1","0"
"K-foret","1","0","1","0","0","1","1","0"
"K-lisiere","0","0","0","0","0","2","0","0"
"L-foret_O-lisiere","0","0","0","0","0","0","0","0"
"L-lisiere","0","0","0","0","1","1","0","0"
"M-foret","0","0","0","0","0","0","0","0"
"M-lisiere","0","0","0","0","0","0","0","0"
"N-foret","0","0","0","0","0","0","0","0"
"N-lisiere","0","0","0","0","0","0","0","0"
"P-lisiere","0","1","0","0","1","2","1","0"
"Q-lisiere","0","2","0","1","1","2","0","0"
"W-lisiere",NA,"0","0","0","1","1","0","0"
"X-foret_X-lisiere",NA,"2","0","0","1","2","1","0"
"Y-lisiere",NA,"1","0","0","1","2","0","0"
"Z-lisiere",NA,"1","1","0","1","0","0","0"
